"","nmajor","major1","major2","BBRJ","Business Direct Admit","Combined Bacc and Masters","Dean's List","First Generation College Stdnt","FSB Scholars","Honors Program","President's List","Study Abroad Courtesy Account","Transfer Work (Pre-Banner)","Cum Laude","Magna Cum Laude","Summa Cum Laude","University Honors","UniversityHonors w/Distinction","minor1","minor2","IPEDS.Race.Ethnicity","Gender","GPA.Range","Term.Code","year.x","latin_honors","survey_city","survey_company","survey_deptfunc","survey_gradprogram","survey_gradschool","survey_internfour","survey_internone","survey_internships","survey_internthree","survey_interntwo","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","survey_state"
"32",1,"Finance","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Humanities","No Minor","White","Female","3.00 - 3.49",202120,"2021","0","OTHER","OTHER",NA,NA,NA,NA,NA,"0",NA,NA,"0","seeking employment","Missing","Missing",0,"Missing"
"33",1,"Marketing","none",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,"Humanities","Humanities","Multi Racial","Female","3.50 - 4.00",202020,"2020","Cum Laude","OTHER","OTHER",NA,NA,NA,NA,"Sherwin Williams","1",NA,NA,"0","seeking employment","Missing","Missing",0,"Missing"
"34",1,"Marketing","none",1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"No Minor","No Minor","White","Female","3.00 - 3.49",201920,"2019","0","COLUMBUS","ABERCROMBIE","Marketing / Sales",NA,NA,NA,"Marketing Intern, Simposi","1",NA,NA,"1","accepted fulltime job","Yes","No",62500,"OH"
"35",1,"Marketing","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","3.00 - 3.49",202120,"2021","0","OTHER","OTHER",NA,NA,NA,NA,"Vineyard Vines Retail Custom Merchandise","2",NA,"Vineyard Vines Women Merchandise","0","seeking employment","Missing","Missing",0,"Missing"
"36",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Business Analytics","Interactive Media Studies","White","Female","3.00 - 3.49",201920,"2019","0","CHICAGO","OTHER","Accounting
 Finance",NA,NA,NA,"Cheryl's Cookies","2",NA,"Henkel","2","accepted fulltime job","Yes","Yes",54000,"IL"
"37",1,"Business Economics","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202020,"2020","0","OTHER","OTHER",NA,NA,NA,NA,"IT Intern, Holmes Murphy","2",NA,"College Financial Advisor, Northwestern Mutual","0","accepted fulltime job","Missing","Missing",61136.1842105263,"Missing"
"38",1,"Finance","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202020,"2020","0","OTHER","OTHER",NA,NA,NA,NA,"KeyBanc Capital Markets","3","12 Doors Down","Cardinal Financial Advisers LLC",NA,"accepted fulltime job","Missing","Missing",75000,"Missing"
"39",1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Engineering/Science","No Minor","White","Male","3.00 - 3.49",202120,"2021","0","CHICAGO","OTHER",NA,NA,NA,NA,NA,"1",NA,NA,"2","accepted fulltime job","Yes","Yes",60000,"IL"
"40",1,"Supply Chain & Operations Mgmt","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202120,"2021","0","OTHER","OTHER",NA,NA,NA,NA,"Honda","2",NA,"Bank Mizrahi","2","accepted fulltime job","Yes","Yes",50000,"NV"
"41",1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Accountancy","No Minor","White","Female","3.00 - 3.49",202020,"2020","0","INDIANAPOLIS","OTHER","Finance",NA,NA,NA,"Cummins, Inc.","1",NA,NA,"1","accepted fulltime job","Yes","Yes",60000,"IN"
